id,file_path,status,error,cid,created_at,updated_at
33,/home/sysadmin/integrity-sync/main/Japanese American Incarceration Materials/i_am_an_american/photos/PHOTO_MANIFEST.txt,Success,"",bafkreifdlztulyjexvjwmhjpwzplbdqayiald6vxxdywgkfqnklrd6i4p4,2026-04-07 16:05:05.507749,2026-04-07 16:05:06.902299
34,/home/sysadmin/integrity-sync/main/Japanese American Incarceration Materials/i_am_an_american/photos/15_gila_river_ration_books_1945.jpg,Success,"",bafkreicfupxnojcaubcwaayz5453vgk45x4dvsvmiz5xrhltjmhr3sbkpq,2026-04-07 16:05:06.916539,2026-04-07 16:05:08.153769
35,/home/sysadmin/integrity-sync/main/Japanese American Incarceration Materials/i_am_an_american/photos/endo_mitsuye_portrait.jpg,Success,"",bafkreihch2vmm3eovdvorasngl7amkouoet7vjxsivwcocz5ffy4psmjlm,2026-04-07 16:05:07.26213,2026-04-07 16:05:09.425971
36,/home/sysadmin/integrity-sync/main/Japanese American Incarceration Materials/i_am_an_american/photos/17_gila_river_travel_grant_1945.jpg,Success,"",bafkreigpbb6vcmshjuwsrm526gj27us2cke5egzs46w227pu3fqr7jhbeu,2026-04-07 16:05:07.808291,2026-04-07 16:05:09.436206
37,/home/sysadmin/integrity-sync/main/Japanese American Incarceration Materials/i_am_an_american/photos/11_uof7po5w0kbfo7q5.jpg,Success,"",bafkreif7mnyfjedqbzjyxi6oobppo5xaujsn3lcahgce4dfbsfhkduyciq,2026-04-07 16:05:09.082412,2026-04-07 16:05:11.471639
38,/home/sysadmin/integrity-sync/main/Japanese American Incarceration Materials/i_am_an_american/photos/lange_sf_boarding_windows_post_st.jpg,Success,"",bafkreieh7k5dqtxsvi7nztii6lwi7mkdsgfvyjj4qdycjbyxbvnbsfijsy,2026-04-07 16:05:24.419098,2026-04-07 16:05:25.966254
39,/home/sysadmin/integrity-sync/main/Japanese American Incarceration Materials/i_am_an_american/maps/01_sanborn_oakland_1889.jpg,Success,"",bafkreih2xhrl6nmpv25zdzl47n4xiqihxdtxdxk7to5cvn35bv27qnnkuq,2026-04-07 16:05:26.31693,2026-04-07 16:05:27.280927
40,/home/sysadmin/integrity-sync/main/Japanese American Incarceration Materials/i_am_an_american/photos/lange_sf_farewell_letter_shop.jpg,Success,"",bafkreicekdsos2gdlppa2bj56qs3lfkqjj6ab3vy26kkoum3nnirdv36he,2026-04-07 16:05:27.092133,2026-04-07 16:05:28.237928
41,/home/sysadmin/integrity-sync/main/Japanese American Incarceration Materials/i_am_an_american/photos/lange_sf_post_street_business.jpg,Success,"",bafkreihkp2r2vo274n7fcyvmbtfzxdddzjxn7kfirzjwu3z5v6xrlfqw34,2026-04-07 16:05:32.740793,2026-04-07 16:05:33.98748
42,/home/sysadmin/integrity-sync/main/Japanese American Incarceration Materials/authentication_documents_relevant_to_all_scenes/Legal Cases/LEGAL_MANIFEST.txt,Success,"",bafkreidhsdjpj6xoefc6dxlc4yx7chhkyavowvgeqfkoxr7scoz7yjgg4a,2026-04-07 16:05:33.34285,2026-04-07 16:05:35.010232
43,/home/sysadmin/integrity-sync/main/Japanese American Incarceration Materials/authentication_documents_relevant_to_all_scenes/testimonies/TESTIMONY_MANIFEST.txt,Success,"",bafkreifpsee264moipojzu7dxyy3kszkbblomcduwnhx5odt7vfqho2any,2026-04-07 16:05:33.494694,2026-04-07 16:05:35.017622
44,/home/sysadmin/integrity-sync/main/Japanese American Incarceration Materials/authentication_documents_relevant_to_all_scenes/Legal Cases/Yasui coram nobis opinion (1985) ddr-densho-405-38-mezzanine-87b7576abe.pdf,Success,"",bafkreiao6vs2gsfg5xpztrk5pfnwkwmuwrt5t2nu45ssiv3cnuivz5kbae,2026-04-07 16:05:34.323779,2026-04-07 16:05:36.630227
45,/home/sysadmin/integrity-sync/main/Japanese American Incarceration Materials/authentication_documents_relevant_to_all_scenes/Legal Cases/hirabayashi_v_united_states_320_us_81.pdf,Success,"",bafkreibuwubzxh3uw74ngsjirp4fdthusip2jleax5d2jvhrtat4um5edi,2026-04-07 16:05:35.607534,2026-04-07 16:05:36.80908
46,/home/sysadmin/integrity-sync/main/Japanese American Incarceration Materials/authentication_documents_relevant_to_all_scenes/Legal Cases/korematsu_coram_nobis_584_fsupp_1406_1984.pdf,Success,"",bafkreiaeusqy4eyfrvworsmumss4irez75ykv66mj2mis4tc7wjyvjk25u,2026-04-07 16:05:36.390374,2026-04-07 16:05:37.279728
47,/home/sysadmin/integrity-sync/main/Japanese American Incarceration Materials/i_am_an_american/maps/MAP_MANIFEST.txt,Success,"",bafkreidnwc6qtltjnb34lilhuksyqglkeicdrsuqiv57lmcsn6gat5abxu,2026-04-07 16:05:44.116154,2026-04-07 16:05:45.315663
48,/home/sysadmin/integrity-sync/main/Japanese American Incarceration Materials/authentication_documents_relevant_to_all_scenes/Legal Cases/Hirabayashi coram nobis opinion 1987 ddr-densho-405-37-mezzanine-bfe9b5560f.pdf,Success,"",bafkreiewx7lcofqmx5v4bb5nyfwcgus2gsu2x6l4reqzyr64e2df3mrewu,2026-04-07 16:05:50.040004,2026-04-07 16:05:51.416393
49,/home/sysadmin/integrity-sync/main/Japanese American Incarceration Materials/authentication_documents_relevant_to_all_scenes/Legal Cases/yasui_v_united_states_320_us_115.pdf,Success,"",bafkreiaun5l7llrdwe5kudb2y5lkdnygloa5qlxiufjhehbuk4quz6u2xi,2026-04-07 16:05:50.970921,2026-04-07 16:05:52.360638
50,/home/sysadmin/integrity-sync/main/Japanese American Incarceration Materials/i_am_an_american/testimonies/TESTIMONY_MANIFEST.txt,Success,"",bafkreiahx2zvkhxjtnukd4darvzx6dpaezngwy4pd6qqs6jyfz7qegqak4,2026-04-07 16:05:51.561092,2026-04-07 16:05:53.018221
51,/home/sysadmin/integrity-sync/main/Japanese American Incarceration Materials/authentication_documents_relevant_to_all_scenes/Legal Cases/trump_v_hawaii_585_us_2018.pdf,Success,"",bafkreigih6scbmvnlazan7lsewsdeybfezwicc52fzy4ghqzyxrbu57pi4,2026-04-07 16:05:53.628713,2026-04-07 16:05:54.872428
52,/home/sysadmin/integrity-sync/main/Japanese American Incarceration Materials/authentication_documents_relevant_to_all_scenes/Legal Cases/ex_parte_endo_323_us_283.pdf,Success,"",bafkreihso74lfkqcznbd5tnte2r3wqxrjlmnmjcgo5oi5jx222t6trhonm,2026-04-07 16:05:55.787373,2026-04-07 16:05:57.050342
53,/home/sysadmin/integrity-sync/main/Japanese American Incarceration Materials/i_am_an_american/documents/05_densho_registry_evidence.html,Success,"",bafkreiefzreq7v4sdk7bhfaz6eg7ax7u2ydiqyqrtqyzejy5re3szwxvsa,2026-04-07 16:05:56.608842,2026-04-07 16:05:57.401632
54,/home/sysadmin/integrity-sync/main/Japanese American Incarceration Materials/i_am_an_american/documents/DOCUMENT_MANIFEST.txt,Success,"",bafkreiag5wwcy4tiyct6irxy5ju2bhbkxyt4aife2sw5r4j2vx6iabbdse,2026-04-07 16:05:57.148956,2026-04-07 16:05:58.390514
55,/home/sysadmin/integrity-sync/main/Japanese American Incarceration Materials/authentication_documents_relevant_to_all_scenes/Legal Cases/korematsu_v_united_states_323_us_214.pdf,Success,"",bafkreibp3lxw2lsvdbfvfeyx73sxhxvq7skhlrot4pmi6xnsodzyoqemdy,2026-04-07 16:06:06.373652,2026-04-07 16:06:08.217846
56,/home/sysadmin/integrity-sync/main/Japanese American Incarceration Materials/tule_lake/documents/DOCUMENT_MANIFEST.txt,Success,"",bafkreid6krabt3wfwjp3kzdjiob37yfxkfs7s5fjsyolddzdesjhjjgnbq,2026-04-07 16:06:07.028094,2026-04-07 16:06:08.999803
57,/home/sysadmin/integrity-sync/main/Japanese American Incarceration Materials/tule_lake/documents/habs_tule_lake_jail_captions.pdf,Success,"",bafkreigxx3h44jafcrs3cmxd6slsv6akjjd5jocmtooycvi5d6fodlyvc4,2026-04-07 16:06:07.948375,2026-04-07 16:06:09.175408
58,/home/sysadmin/integrity-sync/main/Japanese American Incarceration Materials/i_am_an_american/documents/04_wra_form26_authentication_records.md,Success,"",bafkreigd5qhttvormzrwd4rewbmxzfwk6b62mlngigaok55is6a3cxqtdu,2026-04-07 16:06:08.043069,2026-04-07 16:06:10.493669
59,/home/sysadmin/integrity-sync/main/Japanese American Incarceration Materials/tule_lake/testimonies/TESTIMONY_MANIFEST.txt,Success,"",bafkreiaikpsoxzpw2qppljumr7jup6eug5mirzputwmnt734zi655i4k7e,2026-04-07 16:06:08.576278,2026-04-07 16:06:10.868308
